Barcode,Creditcard,TapAndGo,Asset_ID,Meter_ID,Location_Description,Latitude,Longitude,Location
MPM1891611,Yes,Yes,1891611,205A,"The Avenue between Walker Street and Ievers Street, approximately 28m SW of Ridley College, Gnd & Flr1 Ridley College, 170-172 The Avenue, PARKVILLE VIC 3052",-37.7839191,144.9569982,"-37.7839191, 144.9569982"
MPM1891612,Yes,Yes,1891612,205C,"The Avenue between Walker Street and Ievers Street, approximately 34m NW of Flat 24, 202 The Avenue, PARKVILLE VIC 3052",-37.7824506,144.9571986,"-37.7824506, 144.9571986"
MPM1891624,Yes,Yes,1891624,822D,"Kings Domain South, approximately 38m South of E Gate Lodge, Royal Botanic Gardens Victoria, 32 Birdwood Avenue, MELBOURNE VIC 3004",-37.8333488,144.9803803,"-37.8333488, 144.9803803"
MPM1891626,Yes,Yes,1891626,368A,"Lygon Street between Argyle Place South and Pelham Street, approximately 6m West of Carlton Audio/Visual, 164 Lygon Street, CARLTON VIC 3053",-37.8033586,144.966586,"-37.8033586, 144.966586"
MPM1891627,Yes,Yes,1891627,368C,"Lygon Street between Queensberry Street and Argyle Place South, approximately 6m West of Kantin, 122 Lygon Street, CARLTON VIC 3053",-37.8041598,144.9664515,"-37.8041598, 144.9664515"
MPM1891628,Yes,Yes,1891628,311D,"Queensberry Street between Drummond Street and Lygon Street, approximately 22m West of Romanian Orthodox Church, Part 61-63 Queensberry Street, CARLTON VIC 3053",-37.8050601,144.966708,"-37.8050601, 144.966708"
MPM1891632,Yes,Yes,1891632,231D,"Peel Street between Queensberry Street and Elizabeth Street, approximately 13m North of Artisans Of Spring, 217 Peel Street, NORTH MELBOURNE VIC 3051",-37.80251,144.9563762,"-37.80251, 144.9563762"
MPM1891637,Yes,Yes,1891637,807A,"St Kilda Road between Domain Road and Bromby Street, approximately 93m SE of Melbourne Grammar School, Wadhurst Campus, Melbourne Grammar School, 1 Domain Road, MELBOURNE VIC 3004",-37.8338447,144.9740545,"-37.8338447, 144.9740545"
MPM1891639,Yes,Yes,1891639,349C,"Lygon Street between Grattan Street and Faraday Street, approximately 7m NW of Bendigo Bank, 282 Lygon Street, CARLTON VIC 3053",-37.8002483,144.9671348,"-37.8002483, 144.9671348"
MPM1891640,Yes,Yes,1891640,367B,"Lygon Street between Argyle Place North and Grattan Street, approximately 6m East of 7-Eleven, 161 Lygon Street, CARLTON VIC 3053",-37.8019211,144.9666111,"-37.8019211, 144.9666111"
MPM1891641,Yes,Yes,1891641,313C,"Queensberry Street between Rathdowne Street and Drummond Street, approximately 9m West of Capital Radiology, Ground 32 Queensberry Street, CARLTON VIC 3053",-37.8049826,144.9680645,"-37.8049826, 144.9680645"
MPM1891644,Yes,Yes,1891644,223D,"Lygon Street between Victoria Street and Queensberry Street, approximately 5m NW of Christian Chapel - Lygon St Church Of Christ Inc, 54 Lygon Street, CARLTON VIC 3053",-37.8057459,144.9662079,"-37.8057459, 144.9662079"
MPM1891647,Yes,Yes,1891647,297D,"Cardigan Street between Queensberry Street and Argyle Place South, approximately 19m South of 102 Cardigan Street, CARLTON VIC 3053",-37.8043995,144.9649384,"-37.8043995, 144.9649384"
MPM1891653,Yes,Yes,1891653,775D,"St Kilda Road between Anzac Avenue and Coventry Street, approximately 43m East of Department Of Defence, Victoria Barracks Melbourne, 256-310 St Kilda Road, SOUTHBANK VIC 3006",-37.8274787,144.9715311,"-37.8274787, 144.9715311"
MPM1891660,Yes,Yes,1891660,318A,"Queensberry Street between Swanston Street and Bouverie Street, approximately 14m East of Central Cleaning Supplies (Aust) Pty Ltd, 201-203 Queensberry Street, CARLTON VIC 3053",-37.804583,144.9623429,"-37.804583, 144.9623429"
MPM1891663,Yes,Yes,1891663,310B,"Queensberry Street between Bouverie Street and Leicester Street, approximately 4m South of Melbourne Graduate School Of Education, 234 Queensberry Street, CARLTON VIC 3053",-37.8042149,144.961043,"-37.8042149, 144.961043"
MPM1891669,Yes,Yes,1891669,296A,"Cardigan Street between Argyle Place North and Grattan Street, approximately 3m SW of 170-174 Cardigan Street, CARLTON VIC 3053",-37.8011074,144.965505,"-37.8011074, 144.965505"
MPM1891671,Yes,Yes,1891671,356C,"Argyle Place South between Lygon Street and Cardigan Street, approximately 4m NE of Clinica Lase, Ground 23-25 Argyle Place South, CARLTON VIC 3053",-37.8035656,144.9655871,"-37.8035656, 144.9655871"
MPM1891672,Yes,Yes,1891672,373B,"Grattan Street between Cardigan Street and Swanston Street, approximately 23m West of Domino's Pizza, Shop 2, Ground 121 Grattan Street, CARLTON VIC 3053",-37.8006188,144.964964,"-37.8006188, 144.964964"
MPM1891681,Yes,Yes,1891681,313A,"Queensberry Street between Rathdowne Street and Drummond Street, approximately 18m NE of Elmsmere House, 70-72 Drummond Street, CARLTON VIC 3053",-37.8052028,144.9680263,"-37.8052028, 144.9680263"
MPM1891682,Yes,Yes,1891682,311B,"Queensberry Street between Drummond Street and Lygon Street, approximately 16m East of 68 Queensberry Street, CARLTON VIC 3053",-37.804867,144.9669995,"-37.804867, 144.9669995"
MPM1891683,Yes,Yes,1891683,311A,"Queensberry Street between Drummond Street and Lygon Street, approximately 3m North of Romanian Orthodox Church, Part 61-63 Queensberry Street, CARLTON VIC 3053",-37.8050844,144.9669545,"-37.8050844, 144.9669545"
MPM1891685,Yes,Yes,1891685,293B,"Pelham Street between Rathdowne Street and Drummond Street, approximately 35m West of Sacred Heart, 169 Rathdowne Street, CARLTON VIC 3053",-37.8029791,144.9689968,"-37.8029791, 144.9689968"
MPM1891687,Yes,Yes,1891687,775E,"Marquis of Linlithgow Memorial Reserve, approximately 28m SW of Marquis of Linlithgow Memorial Reserve, 257-269 St Kilda Road, MELBOURNE VIC 3004",-37.826867,144.9716845,"-37.826867, 144.9716845"
MPM1891691,Yes,Yes,1891691,162A,"Rathdowne Street between Pelham Street and Grattan Street, approximately 3m NE of 233 Rathdowne Street, CARLTON VIC 3053",-37.8016499,144.9696287,"-37.8016499, 144.9696287"
MPM1891692,Yes,Yes,1891692,162B,"Rathdowne Street between Pelham Street and Grattan Street, approximately 27m East of 233 Rathdowne Street, CARLTON VIC 3053",-37.8017585,144.9698977,"-37.8017585, 144.9698977"
MPM1891694,Yes,Yes,1891694,191B,"Queensberry Street between Lygon Street and Cardigan Street, approximately 27m South of Triggah Hair, 102 Queensberry Street, CARLTON VIC 3053",-37.8049304,144.9655245,"-37.8049304, 144.9655245"
MPM1891699,Yes,Yes,1891699,349A,"Lygon Street between Grattan Street and Faraday Street, approximately 6m West of Husk, Ground 324 Lygon Street, CARLTON VIC 3053",-37.7994086,144.9672708,"-37.7994086, 144.9672708"
MPM1891704,Yes,Yes,1891704,356A,"Argyle Place South between Lygon Street and Cardigan Street, approximately 16m NW of Parco Canteen, 2 Argyle Place South, CARLTON VIC 3053",-37.8033801,144.9660053,"-37.8033801, 144.9660053"
MPM1895391,Yes,Yes,1895391,ZOO10,Royal Park,-37.7844492,144.9548363,"-37.7844492, 144.9548363"
MPM1898585,Yes,Yes,1898585,886A,"Grey Street between Powlett Street and Clarendon Street, approximately 4m SW of 128 Grey Street, EAST MELBOURNE VIC 3002",-37.8115696,144.9841575,"-37.8115696, 144.9841575"
MPM1898595,Yes,Yes,1898595,885B,"Albert Street between Hoddle Street and Simpson Street, approximately 4m NE of 39 Albert Street, EAST MELBOURNE VIC 3002",-37.8111978,144.9896645,"-37.8111978, 144.9896645"
MPM1898597,Yes,Yes,1898597,878D,"Albert Street between Powlett Street and Clarendon Street, approximately 4m SW of Care Park, Part Basement 160 Albert Street, EAST MELBOURNE VIC 3002",-37.810539,144.9856121,"-37.810539, 144.9856121"
MPM1898598,Yes,Yes,1898598,878B,"Albert Street between Powlett Street and Clarendon Street, approximately 19m East of Epworth Freemasons GP Clinic, 113 Albert Street, EAST MELBOURNE VIC 3002",-37.8106356,144.984523,"-37.8106356, 144.984523"
MPM1898601,Yes,Yes,1898601,897B,"Victoria Parade between Morrison Place and Lansdowne Street, approximately 4m North of Webb Korfiatis Barristers & Solicitors, Part Lot 1A, 182-184 Victoria Parade, EAST MELBOURNE VIC 3002",-37.808699,144.9779406,"-37.808699, 144.9779406"
